Номер слова: 1, Слово: йрамл, Основа: йрамл, Падеж: Номинативный, Время: Настоящее время
Номер слова: 2, Слово: хбукоьсэго, Основа: хбукоьс, Падеж: Нет падежа, Время: Прошедшее время
Номер слова: 3, Слово: суйщюшфэ, Основа: суйщюшфэ, Падеж: Номинативный, Время: Нет времени
Номер слова: 4, Слово: дл, Основа: дл, Падеж: Номинативный, Время: Настоящее время
Номер слова: 5, Слово: фучйп, Основа: фучйп, Падеж: Номинативный, Время: Настоящее время
Номер слова: 6, Слово: ойзасеъе, Основа: ойзасеъе, Падеж: Номинативный, Время: Нет времени
Номер слова: 7, Слово: хуаутжю, Основа: хуаутжю, Падеж: Номинативный, Время: Нет времени
Номер слова: 8, Слово: ет, Основа: ет, Падеж: Номинативный, Время: Настоящее время
Номер слова: 9, Слово: йжаавспгтыдыщ, Основа: йжаавспг, Падеж: Косвенный, Время: Нет времени
Номер слова: 10, Слово: бьеъ, Основа: бьеъ, Падеж: Номинативный, Время: Настоящее время
Номер слова: 11, Слово: уешгейцтыдыщ, Основа: уешгейц, Падеж: Косвенный, Время: Нет времени
Номер слова: 12, Слово: гфарио, Основа: гфа, Падеж: Номинативный, Время: Будущее время
Номер слова: 13, Слово: рл, Основа: рл, Падеж: Номинативный, Время: Настоящее время
Номер слова: 14, Слово: тъжьил, Основа: тъжьил, Падеж: Номинативный, Время: Настоящее время
Номер слова: 15, Слово: кгэго, Основа: кг, Падеж: Номинативный, Время: Прошедшее время
Номер слова: 16, Слово: тътгжштыдыщ, Основа: тътгжш, Падеж: Косвенный, Время: Нет времени
Номер слова: 17, Слово: емю, Основа: емю, Падеж: Номинативный, Время: Настоящее время
Номер слова: 18, Слово: ийюаыщй, Основа: ийюаыщй, Падеж: Номинативный, Время: Нет времени
Номер слова: 19, Слово: ашхфйпг, Основа: ашхфйпг, Падеж: Номинативный, Время: Настоящее время
Номер слова: 20, Слово: мохинфгц, Основа: мохинфгц, Падеж: Номинативный, Время: Нет времени
Номер слова: 21, Слово: иаоюэдытыдыщ, Основа: иаоюэды, Падеж: Косвенный, Время: Нет времени
Номер слова: 22, Слово: тк, Основа: тк, Падеж: Номинативный, Время: Настоящее время
Номер слова: 23, Слово: пвны, Основа: пвны, Падеж: Номинативный, Время: Настоящее время
Номер слова: 24, Слово: етбэь, Основа: етбэь, Падеж: Номинативный, Время: Настоящее время
Номер слова: 25, Слово: юеиешьаэго, Основа: юеиешьа, Падеж: Нет падежа, Время: Прошедшее время
Номер слова: 26, Слово: цыыа, Основа: цыыа, Падеж: Номинативный, Время: Настоящее время
Номер слова: 27, Слово: иунщмэгшэго, Основа: иунщмэгш, Падеж: Нет падежа, Время: Прошедшее время
Номер слова: 28, Слово: йстыдыщ, Основа: йс, Падеж: Косвенный, Время: Нет времени
Номер слова: 29, Слово: оэщ, Основа: оэщ, Падеж: Номинативный, Время: Настоящее время
Номер слова: 30, Слово: цжэччю, Основа: цжэччю, Падеж: Номинативный, Время: Настоящее время
Номер слова: 31, Слово: ппвтлдэ, Основа: ппвтлдэ, Падеж: Номинативный, Время: Нет времени
Номер слова: 32, Слово: кжжд, Основа: кжжд, Падеж: Номинативный, Время: Настоящее время
Номер слова: 33, Слово: амбцлщыптыдыщ, Основа: амбцлщып, Падеж: Косвенный, Время: Нет времени
Номер слова: 34, Слово: дтфвнэмз, Основа: дтфвнэмз, Падеж: Номинативный, Время: Настоящее время
Номер слова: 35, Слово: фрй, Основа: фрй, Падеж: Номинативный, Время: Настоящее время
Номер слова: 36, Слово: дьзъюмпцэго, Основа: дьзъюмпц, Падеж: Нет падежа, Время: Прошедшее время
Номер слова: 37, Слово: ючйэуэкм, Основа: ючйэуэкм, Падеж: Номинативный, Время: Нет времени
Номер слова: 38, Слово: шыъгземйрио, Основа: шыъгземй, Падеж: Нет падежа, Время: Будущее время
Номер слова: 39, Слово: цйфитдтыдыщ, Основа: цйфитд, Падеж: Косвенный, Время: Нет времени
Номер слова: 40, Слово: щйэи, Основа: щйэи, Падеж: Номинативный, Время: Настоящее время
Номер слова: 41, Слово: мшстыдыщ, Основа: мшс, Падеж: Косвенный, Время: Нет времени
Номер слова: 42, Слово: имшрио, Основа: имш, Падеж: Номинативный, Время: Будущее время
Номер слова: 43, Слово: ъбэгыю, Основа: ъбэгыю, Падеж: Номинативный, Время: Настоящее время
Номер слова: 44, Слово: зьнэго, Основа: зьн, Падеж: Номинативный, Время: Прошедшее время
Номер слова: 45, Слово: шэбеиех, Основа: шэбеиех, Падеж: Номинативный, Время: Настоящее время
Номер слова: 46, Слово: мртаеъоэго, Основа: мртаеъо, Падеж: Нет падежа, Время: Прошедшее время
Номер слова: 47, Слово: ыф, Основа: ыф, Падеж: Номинативный, Время: Настоящее время
Номер слова: 48, Слово: ухбкщхтыдыщ, Основа: ухбкщх, Падеж: Косвенный, Время: Нет времени
Номер слова: 49, Слово: акъеетцэго, Основа: акъеетц, Падеж: Нет падежа, Время: Прошедшее время
Номер слова: 50, Слово: фээ, Основа: фээ, Падеж: Номинативный, Время: Настоящее время
Номер слова: 51, Слово: ыызде, Основа: ыызде, Падеж: Номинативный, Время: Настоящее время
Номер слова: 52, Слово: ьокз, Основа: ьокз, Падеж: Номинативный, Время: Настоящее время
Номер слова: 53, Слово: эздктожй, Основа: эздктожй, Падеж: Номинативный, Время: Нет времени
Номер слова: 54, Слово: бчйтзэн, Основа: бчйтзэн, Падеж: Номинативный, Время: Настоящее время
Номер слова: 55, Слово: нкэбйън, Основа: нкэбйън, Падеж: Номинативный, Время: Нет времени
Номер слова: 56, Слово: кььешмхь, Основа: кььешмхь, Падеж: Нет падежа, Время: Настоящее время
Номер слова: 57, Слово: льгыжж, Основа: льгыжж, Падеж: Номинативный, Время: Настоящее время
Номер слова: 58, Слово: мфснэго, Основа: мфсн, Падеж: Номинативный, Время: Прошедшее время
Номер слова: 59, Слово: нтжглъ, Основа: нтжглъ, Падеж: Номинативный, Время: Нет времени
Номер слова: 60, Слово: уццр, Основа: уццр, Падеж: Номинативный, Время: Настоящее время
Номер слова: 61, Слово: ыюхиф, Основа: ыюхиф, Падеж: Номинативный, Время: Настоящее время
Номер слова: 62, Слово: такъэго, Основа: такъ, Падеж: Номинативный, Время: Прошедшее время
Номер слова: 63, Слово: виб, Основа: виб, Падеж: Номинативный, Время: Настоящее время
Номер слова: 64, Слово: йелрм, Основа: йелрм, Падеж: Номинативный, Время: Настоящее время
Номер слова: 65, Слово: тщ, Основа: тщ, Падеж: Номинативный, Время: Настоящее время
Номер слова: 66, Слово: шчнрио, Основа: шчн, Падеж: Номинативный, Время: Будущее время
Номер слова: 67, Слово: тщмтнцоь, Основа: тщмтнцоь, Падеж: Номинативный, Время: Нет времени
Номер слова: 68, Слово: фщсъшесрио, Основа: фщсъшес, Падеж: Нет падежа, Время: Будущее время
Номер слова: 69, Слово: эмммпгтыдыщ, Основа: эмммпг, Падеж: Косвенный, Время: Нет времени
Номер слова: 70, Слово: ькддрио, Основа: ькдд, Падеж: Номинативный, Время: Будущее время
Номер слова: 71, Слово: гцб, Основа: гцб, Падеж: Номинативный, Время: Настоящее время
Номер слова: 72, Слово: ттанлвтитыдыщ, Основа: ттанлвти, Падеж: Косвенный, Время: Нет времени
Номер слова: 73, Слово: тфогрио, Основа: тфог, Падеж: Номинативный, Время: Будущее время
Номер слова: 74, Слово: епзабэг, Основа: епзабэг, Падеж: Номинативный, Время: Нет времени
Номер слова: 75, Слово: ык, Основа: ык, Падеж: Номинативный, Время: Настоящее время
Номер слова: 76, Слово: эфшжргюъэго, Основа: эфшжргюъ, Падеж: Нет падежа, Время: Прошедшее время
Номер слова: 77, Слово: ксъннэ, Основа: ксъннэ, Падеж: Номинативный, Время: Настоящее время
Номер слова: 78, Слово: зун, Основа: зун, Падеж: Номинативный, Время: Настоящее время
Номер слова: 79, Слово: эвдр, Основа: эвдр, Падеж: Номинативный, Время: Настоящее время
Номер слова: 80, Слово: лхеир, Основа: лхеир, Падеж: Номинативный, Время: Настоящее время
Номер слова: 81, Слово: ию, Основа: ию, Падеж: Номинативный, Время: Настоящее время
Номер слова: 82, Слово: ып, Основа: ып, Падеж: Номинативный, Время: Настоящее время
Номер слова: 83, Слово: гкътыдыщ, Основа: гкъ, Падеж: Косвенный, Время: Нет времени
Номер слова: 84, Слово: вычзэго, Основа: вычз, Падеж: Номинативный, Время: Прошедшее время
Номер слова: 85, Слово: йцрциротыдыщ, Основа: йцрциро, Падеж: Косвенный, Время: Нет времени
Номер слова: 86, Слово: лгищ, Основа: лгищ, Падеж: Номинативный, Время: Настоящее время
Номер слова: 87, Слово: рщзсймпш, Основа: рщзсймпш, Падеж: Номинативный, Время: Настоящее время
Номер слова: 88, Слово: ргкзсэ, Основа: ргкзсэ, Падеж: Номинативный, Время: Нет времени
Номер слова: 89, Слово: дтс, Основа: дтс, Падеж: Номинативный, Время: Настоящее время
Номер слова: 90, Слово: ччщудзтбтыдыщ, Основа: ччщудзтб, Падеж: Косвенный, Время: Нет времени
Номер слова: 91, Слово: сы, Основа: сы, Падеж: Номинативный, Время: Настоящее время
Номер слова: 92, Слово: двтыдыщ, Основа: дв, Падеж: Косвенный, Время: Нет времени
Номер слова: 93, Слово: тузэыо, Основа: тузэыо, Падеж: Номинативный, Время: Нет времени
Номер слова: 94, Слово: мэь, Основа: мэь, Падеж: Номинативный, Время: Настоящее время
Номер слова: 95, Слово: цтх, Основа: цтх, Падеж: Номинативный, Время: Настоящее время
Номер слова: 96, Слово: цуэщэго, Основа: цуэщ, Падеж: Номинативный, Время: Прошедшее время
Номер слова: 97, Слово: двцц, Основа: двцц, Падеж: Номинативный, Время: Настоящее время
Номер слова: 98, Слово: нй, Основа: нй, Падеж: Номинативный, Время: Настоящее время
Номер слова: 99, Слово: иши, Основа: иши, Падеж: Номинативный, Время: Настоящее время
Номер слова: 100, Слово: тнбжшфо, Основа: тнбжшфо, Падеж: Номинативный, Время: Нет времени
